Name,RAdeg,DEdeg,z,SiIV-BI,SiIV-BIO,SiIV-EW,SiIV-vmin,SiIV-vmax,SiIV-fdeep,CIV-BI,CIV-BIO,CIV-EW,CIV-vmin,CIV-vmax,CIV-fdeep,AlIII-BI,AlIII-BIO,AlIII-EW,AlIII-vmin,AlIII-vmax,AlIII-fdeep,MgII-BI,MgII-BIO,MgII-EW,MgII-vmin,MgII-vmax,MgII-fdeep,SiIV-EmL,CIV-EmL,AlIII-EmL,MgII-EmL,SiIV-BMBB,CIV-BMBB,AlIII-BMBB,MgII-BMBB,CIV4-BWA,SN1700,logF1400,logF2500,ra,dec,mjd,plate,fiberid,Separation
114344.82+034729.6,175.936772,3.791571,1.68,,,,,,,419.1,1332.0,-21.2,-1552,-9901,0.63,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,9.9,,-26.8,175.93679,3.7915409,52373,839,258,0.12618465919148641
114350.17+615525.5,175.959068,61.923767,2.99,1409.3,1409.3,-11.8,-3288,-6876,0.79,639.3,1881.4,-17.4,-1535,-5883,0.94,0.0,0.0,0.0,,,,,,,,,,1,1,0,0,0,0,,,0,3.6,-27.55,,175.95915,61.923756,52319,776,71,0.1444680286982957
114352.17+440818.7,175.967381,44.138531,1.78,0.0,0.0,0.0,,,,0.0,188.0,-8.7,-1390,-4151,0.6,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.3,-27.28,-27.14,175.96738,44.138536,53083,1367,86,0.018184466720462412
114354.81+541623.1,175.978406,54.273089,2.87,163.0,163.0,-5.4,-8078,-14281,0.04,3268.4,3268.4,-25.2,-6119,-18109,0.36,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,0,0,,,0,15.0,-27.02,,175.97843,54.27309,52734,1015,64,0.0505791881035021
114402.73+554507.7,176.011381,55.752143,3.21,0.0,0.0,0.0,,,,313.5,313.5,-8.5,-7645,-10197,0.7,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,4.7,-27.58,,176.01138,55.752144,52759,1016,371,0.004130934649817989
114404.79+034316.0,176.019976,3.721112,3.1,0.0,0.0,0.0,,,,0.0,193.0,-8.1,-1584,-4206,0.76,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,1,4.4,-27.49,,176.01998,3.7210817,52373,839,243,0.1100224204582777
114410.06+321506.9,176.041935,32.251934,2.29,0.0,0.0,0.0,,,,61.5,61.5,-2.5,-20171,-22986,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,10.0,-27.18,-27.05,176.04193,32.251934,53473,2008,525,0.015222776549070777
114420.57+044515.8,176.085713,4.754395,2.05,0.0,0.0,0.0,,,,409.4,409.4,-6.3,-3093,-6750,0.09,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,10.0,-27.14,-26.98,176.08573,4.7543945,52378,838,79,0.061015976114947856
114426.59+322439.3,176.110833,32.410942,1.17,,,,,,,,,,,,,909.1,909.1,-10.9,-5614,-12510,0.01,0.0,0.0,0.0,,,,0,0,0,0,,,0,,0,,,-27.01,176.11083,32.410942,53473,2008,552,0.009117636389897045
114426.64+501403.6,176.111021,50.234342,2.89,99.0,99.0,-2.3,-15056,-17809,0.0,1042.0,1042.0,-13.9,-13583,-22592,0.29,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,1,9.8,-27.45,,176.11102,50.234339,52636,967,533,0.011042762187461821
114434.46+431931.2,176.143616,43.325356,3.83,32.3,35.3,-6.7,68,-21295,0.2,5291.8,5291.8,-30.7,-13701,-25042,0.65,0.0,0.0,0.0,,,,,,,,,,1,0,0,0,0,0,,,0,5.7,-27.41,,176.14362,43.325352,53083,1367,74,0.017807225612818323
114439.70+045149.7,176.165442,4.863815,1.9,0.0,0.0,0.0,,,,1064.2,1733.9,-17.3,-1428,-7294,0.61,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,5.2,-27.66,-27.14,176.16545,4.8638123,52373,839,223,0.030297782062024853
114445.44+090226.6,176.189367,9.040737,1.78,555.6,555.6,-7.9,-3693,-6798,0.64,5819.8,6510.2,-49.8,-1526,-22949,0.43,0.0,0.0,0.0,,,,160.7,450.0,-12.1,-1566,-5914,0.03,1,1,0,1,0,0,,0,0,5.6,-27.38,-26.89,176.18935,9.0407613,52734,1226,247,0.10632830295957132
114446.93+323937.9,176.195568,32.66054,1.61,,,,,,,114.2,114.2,-5.8,-4845,-7053,0.59,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,4.0,,-27.49,176.19557,32.66054,53473,2008,548,0.006061555023921156
114500.36+012223.9,176.251527,1.373315,2.86,0.0,0.0,0.0,,,,1082.1,1082.1,-9.5,-20990,-25038,0.44,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,5.8,-27.61,,176.25154,1.373401,51994,514,136,0.3131152213718322
114500.79+100824.6,176.253332,10.14017,1.91,209.0,209.0,-10.7,-5018,-9985,0.42,2410.1,2410.1,-18.0,-5406,-12026,0.55,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,0,0,,,0,5.9,-27.32,-26.91,176.25333,10.140172,52734,1226,440,0.010103126456400081
114507.18+551329.7,176.279944,55.224919,1.68,,,,,,,1307.6,1307.6,-11.4,-6002,-12140,0.2,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,6.9,,-27.09,176.27995,55.224924,52759,1016,440,0.021812265727850527
114509.73+534158.1,176.290568,53.699483,2.82,893.0,1333.0,-12.5,-2198,-7236,0.58,273.4,1201.9,-20.1,-790,-9623,0.49,0.0,159.8,-5.9,-1285,-3977,0.15,,,,,,,0,1,1,0,0,0,0,,0,5.0,-27.58,,176.29056,53.699495,52759,1016,288,0.04644296352516104
114514.05+520154.0,176.308561,52.031675,3.57,0.0,0.0,0.0,,,,1231.2,1231.2,-14.5,-14501,-25016,0.01,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,6.5,-27.17,,176.30857,52.031683,52368,881,267,0.03502537561991843
114516.74+493259.3,176.319752,49.549824,1.16,,,,,,,,,,,,,0.0,0.0,0.0,,,,528.4,528.4,-12.3,-3291,-8811,0.0,0,0,0,1,,,,0,0,,,-26.97,176.31976,49.549826,52636,967,558,0.020024265047318676
114522.79+614549.7,176.344995,61.763833,1.67,,,,,,,3.8,3.8,-2.9,-8251,-10389,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,9.0,,-26.98,176.34495,61.763819,52320,777,275,0.09172983589006904
114523.09+021141.8,176.346223,2.194947,1.87,0.0,0.0,0.0,,,,0.0,279.6,-8.6,-290,-2913,0.71,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,5.6,-27.61,-27.09,176.34625,2.1949772,51994,514,157,0.14578758343138115
114523.21+462841.6,176.346734,46.478245,1.8,0.0,0.0,0.0,,,,764.6,764.6,-10.2,-3222,-8053,0.29,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,12.2,-26.93,-26.78,176.34673,46.478245,53054,1444,61,0.0099162712286157
114546.22+032251.9,176.442587,3.381091,2.01,0.0,0.0,0.0,,,,126.5,126.5,-3.5,-9713,-12815,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,8.0,-27.23,-27.05,176.44255,3.3810775,51994,514,458,0.14157149359448304
114548.38+393746.6,176.451603,39.629637,3.1,1135.8,1135.8,-10.3,-2981,-6983,0.64,1083.9,1762.2,-17.0,-2263,-7025,0.71,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,22.9,-26.61,,176.4516,39.629637,53442,1997,450,0.008317981009050974
114548.91+562327.2,176.453825,56.390896,1.53,,,,,,,0.0,130.3,-5.1,-1633,-4463,0.2,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,3.4,,-27.52,176.45382,56.390898,52765,1311,92,0.012292677986437253
114549.57-020832.7,176.456577,-2.142422,1.59,,,,,,,3805.9,3805.9,-24.5,-6599,-14320,0.71,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,9.3,,-27.1,176.45658,-2.1424086,52282,328,624,0.04943252564418181
114557.87+322634.7,176.49115,32.442982,2.05,0.0,0.0,0.0,,,,40.4,40.4,-3.0,-15171,-17649,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.9,-27.26,-27.08,176.49115,32.442983,53473,2008,588,0.0035999999913344186
114600.32+504734.0,176.501365,50.792793,1.08,,,,,,,,,,,,,0.0,0.0,0.0,,,,16.0,16.0,-4.0,-3430,-5777,0.0,0,0,0,0,,,,0,0,,,-26.83,176.50137,50.792799,52636,967,562,0.024413629065827953
114606.51+040737.5,176.527159,4.127094,1.57,,,,,,,0.0,150.4,-4.8,-1440,-4063,0.18,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,8.4,,-27.0,176.52716,4.1270645,52373,839,140,0.10626068356704435
114641.67+130312.1,176.673657,13.053367,3.42,0.0,0.0,0.0,,,,728.0,728.0,-10.9,-11837,-15213,0.73,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,0,2.9,-27.58,,176.67366,13.053367,53138,1608,619,0.01052092938388185
114646.91+623625.5,176.695467,62.607085,3.72,1338.9,1338.9,-10.9,-9736,-15179,0.38,6311.3,6311.3,-39.4,-8536,-24567,0.4,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,7.1,-27.26,,176.69547,62.607107,52320,777,435,0.0793557223060989
